"","Date","Close","Open","High","Low"
"574",2017-07-11,3203.038,3201.517,3226.908,3199.224
"575",2017-07-12,3197.544,3201.929,3215.196,3177.935
"576",2017-07-13,3218.163,3192.362,3219.268,3190.339
"577",2017-07-14,3222.417,3212.032,3222.978,3204.853
"578",2017-07-17,3176.465,3219.791,3230.354,3139.504
"579",2017-07-18,3187.567,3159.732,3187.671,3150.128
"580",2017-07-19,3230.976,3181.402,3232.941,3179.73
"581",2017-07-20,3244.865,3227.506,3246.236,3225.433
"582",2017-07-21,3237.982,3236.588,3247.712,3231.956
"583",2017-07-24,3250.599,3230.898,3261.105,3230.071
"584",2017-07-25,3243.689,3249.138,3261.645,3233.138
"585",2017-07-26,3247.675,3244.461,3264.848,3228.039
"586",2017-07-27,3249.781,3243.765,3251.926,3220.637
"587",2017-07-28,3253.24,3240.173,3256.371,3232.963
"588",2017-07-31,3273.028,3252.752,3276.946,3251.194
"589",2017-08-01,3292.638,3274.369,3292.638,3273.504
"590",2017-08-02,3285.057,3288.518,3305.431,3282.038
"591",2017-08-03,3272.929,3279.986,3293.369,3262.155
"592",2017-08-04,3262.081,3269.318,3287.193,3261.307
"593",2017-08-07,3279.457,3257.67,3280.104,3243.715
"594",2017-08-08,3281.873,3277.189,3285.483,3269.658
"595",2017-08-09,3275.573,3277.808,3277.943,3263.847
"596",2017-08-10,3261.749,3269.735,3282.519,3236.183
"597",2017-08-11,3208.541,3237.922,3245.116,3200.748
"598",2017-08-14,3237.36,3206.044,3240.052,3206.044
"599",2017-08-15,3251.262,3235.23,3263.589,3235.101
"600",2017-08-16,3246.451,3247.853,3248.785,3228.871
"601",2017-08-17,3268.43,3253.846,3269.139,3251.459
"602",2017-08-18,3268.724,3253.243,3275.076,3248.083
"603",2017-08-21,3286.906,3274.581,3287.519,3270.475
"604",2017-08-22,3290.226,3287.615,3293.476,3274.941
"605",2017-08-23,3287.705,3283.797,3299.457,3274.44
"606",2017-08-24,3271.512,3287.959,3297.989,3266.359
"607",2017-08-25,3331.522,3271.461,3331.915,3271.461
"608",2017-08-28,3362.651,3336.126,3375.034,3336.126
"609",2017-08-29,3365.226,3362.06,3374.595,3354.463
"610",2017-08-30,3363.627,3361.821,3376.648,3357.08
"611",2017-08-31,3360.81,3361.462,3367.358,3340.687
"612",2017-09-01,3367.119,3365.991,3381.925,3358.472
"613",2017-09-04,3379.583,3369.719,3381.403,3359.131
"614",2017-09-05,3384.317,3377.197,3390.823,3371.571
"615",2017-09-06,3385.389,3372.428,3391.011,3364.765
"616",2017-09-07,3365.497,3383.628,3387.796,3363.177
"617",2017-09-08,3365.243,3364.428,3380.89,3353.688
"618",2017-09-11,3376.419,3365.351,3384.81,3360.046
"619",2017-09-12,3379.488,3381.487,3391.069,3370.852
"620",2017-09-13,3384.147,3374.719,3387.14,3366.541
"621",2017-09-14,3371.426,3383.47,3391.644,3361.334
"622",2017-09-15,3353.619,3365.145,3365.528,3345.328
"623",2017-09-18,3362.859,3352.513,3371.749,3352.513
"624",2017-09-19,3356.845,3365.532,3370.401,3344.705
"625",2017-09-20,3365.996,3352.185,3370.098,3346.536
"626",2017-09-21,3357.812,3364.698,3377.884,3356.875
"627",2017-09-22,3352.529,3347.157,3356.451,3334.985
"628",2017-09-25,3341.549,3344.589,3350.961,3334.944
"629",2017-09-26,3343.583,3336.35,3347.163,3332.599
"630",2017-09-27,3345.272,3340.822,3349.695,3340.299
"631",2017-09-28,3339.642,3343.845,3344.601,3336.178
"632",2017-09-29,3348.943,3340.311,3357.015,3340.311
"633",2017-10-09,3374.378,3403.246,3410.17,3366.965
"634",2017-10-10,3382.988,3373.345,3384.026,3358.795
"635",2017-10-11,3388.284,3381.488,3395.779,3379.163
"636",2017-10-12,3386.1,3385.533,3390.204,3372.533
"637",2017-10-13,3390.523,3384.488,3395.748,3383.239
"638",2017-10-16,3378.47,3393.206,3400.511,3374.769
"639",2017-10-17,3372.041,3373.234,3382.407,3365.565
"640",2017-10-18,3381.794,3373.528,3383.232,3371.925
"641",2017-10-19,3370.172,3374.644,3378.736,3359.628
"642",2017-10-20,3378.648,3363.514,3379.765,3360.1
"643",2017-10-23,3380.699,3382.28,3385.285,3374.705
"644",2017-10-24,3388.248,3376.599,3388.689,3374.125
"645",2017-10-25,3396.898,3384.858,3398.304,3382.034
"646",2017-10-26,3407.567,3397.519,3414.242,3391.455
"647",2017-10-27,3416.812,3404.498,3421.103,3402.114
"648",2017-10-30,3390.337,3413.868,3419.732,3357.276
"649",2017-10-31,3393.342,3380.999,3397.099,3376.124
"650",2017-11-01,3395.913,3393.968,3410.352,3388.598
"651",2017-11-02,3383.31,3391.652,3391.652,3372.213
"652",2017-11-03,3371.744,3377.736,3380.57,3347.36
"653",2017-11-06,3388.174,3369.685,3389.383,3356.534
"654",2017-11-07,3413.575,3389.472,3415.148,3387.946
"655",2017-11-08,3415.46,3409.147,3434.492,3404.881
"656",2017-11-09,3427.795,3410.672,3428.77,3408.619
"657",2017-11-10,3432.673,3423.185,3438.792,3414.329
"658",2017-11-13,3447.836,3435.184,3449.164,3435.085
"659",2017-11-14,3429.548,3446.545,3450.495,3419.692
"660",2017-11-15,3402.525,3416.211,3423.75,3396.381
"661",2017-11-16,3399.25,3393.194,3409.653,3390.589
"662",2017-11-17,3382.908,3392.683,3403.286,3373.296
"663",2017-11-20,3392.399,3361.356,3393.106,3337.116
"664",2017-11-21,3410.498,3382.36,3419.802,3377.599
"665",2017-11-22,3430.464,3417.331,3442.178,3404.287
"666",2017-11-23,3351.918,3425.009,3429.424,3342.332
"667",2017-11-24,3353.821,3340.384,3360.746,3328.334
"668",2017-11-27,3322.23,3346.657,3347.051,3315.264
"669",2017-11-28,3333.657,3311.232,3333.8,3300.781
"670",2017-11-29,3337.862,3335.567,3343.062,3305.572
"671",2017-11-30,3317.188,3328.643,3340.92,3306.283
"672",2017-12-01,3317.617,3315.105,3324.516,3302.44
"673",2017-12-04,3309.618,3310.381,3323.996,3304.103
"674",2017-12-05,3303.675,3301.691,3315.737,3300.512
"675",2017-12-06,3293.965,3291.313,3296.201,3254.611
"676",2017-12-07,3272.054,3283.279,3291.282,3259.164
"677",2017-12-08,3289.992,3264.478,3297.13,3258.759
"678",2017-12-11,3322.196,3290.488,3322.674,3288.295
"679",2017-12-12,3280.814,3320.31,3320.31,3280.329
"680",2017-12-13,3303.037,3278.397,3304.01,3273.325
"681",2017-12-14,3292.439,3302.932,3309.53,3282.573
"682",2017-12-15,3266.137,3287.529,3287.529,3259.388
"683",2017-12-18,3267.922,3268.034,3280.544,3254.178
"684",2017-12-19,3296.538,3266.019,3296.94,3266.019
"685",2017-12-20,3287.606,3296.74,3300.212,3276.12
"686",2017-12-21,3300.059,3281.118,3309.223,3267.404
"687",2017-12-22,3297.063,3297.685,3307.328,3293.442
"688",2017-12-25,3280.461,3296.211,3312.3,3270.441
"689",2017-12-26,3306.125,3277.837,3307.299,3274.327
"690",2017-12-27,3275.783,3302.461,3307.08,3270.349
"691",2017-12-28,3296.385,3272.291,3304.096,3263.728
"692",2017-12-29,3307.172,3295.246,3308.225,3292.77
"693",2018-01-02,3348.326,3314.031,3349.053,3314.031
"694",2018-01-03,3369.108,3347.743,3379.915,3345.289
"695",2018-01-04,3385.71,3371,3392.826,3365.295
"696",2018-01-05,3391.75,3386.464,3402.069,3380.245
"697",2018-01-08,3409.48,3391.553,3412.731,3384.559
