"","Date","SH","JP","NS"
"335",2016-07-15,3054.3,16723.31,4410.75
"336",2016-07-18,3043.56,16681.89,4444.7
"337",2016-07-19,3036.6,16810.22,4459.58
"338",2016-07-20,3027.9,16627.25,4528.36
"339",2016-07-21,3039.01,16620.29,4554.71
"340",2016-07-22,3012.82,16383.04,4577.61
"341",2016-07-25,3015.83,16664.82,4565.77
"342",2016-07-26,3050.17,16476.84,4596.49
"343",2016-07-27,2992,16569.27,4589.83
"344",2016-07-28,2994.32,16635.77,4619.68
"345",2016-07-29,2979.34,16391.45,4603.28
"346",2016-08-01,2953.39,16083.11,4657.2
"347",2016-08-02,2971.28,16254.89,4647.02
"348",2016-08-03,2978.46,16254.45,4666.07
"349",2016-08-04,2982.43,16650.57,4665.93
"350",2016-08-05,2976.7,16764.97,4672.11
"351",2016-08-08,3004.28,16735.12,4702.88
"352",2016-08-09,3025.68,16919.92,4721.41
"353",2016-08-10,3018.75,16869.56,4730.23
"354",2016-08-11,3002.64,16596.51,4756.04
"355",2016-08-12,3050.67,16745.64,4719.21
"356",2016-08-15,3125.2,16486.01,4734.33
"357",2016-08-16,3110.04,16545.82,4743.81
"358",2016-08-17,3109.56,16598.19,4791.21
"359",2016-08-18,3104.11,16497.36,4784.74
"360",2016-08-19,3108.1,16597.3,4795.75
"361",2016-08-22,3084.81,16555.95,4783.39
"362",2016-08-23,3089.71,16360.71,4803.31
"363",2016-08-24,3085.88,16737.49,4807.08
"364",2016-08-25,3068.33,16725.36,4827.12
"365",2016-08-26,3070.31,16887.4,4797.19
"366",2016-08-29,3070.03,16926.84,4805.45
"367",2016-08-30,3074.68,16925.68,4808.68
"368",2016-08-31,3085.49,17037.63,4806.14
"369",2016-09-01,3063.31,17081.98,4808.56
"370",2016-09-02,3067.35,17012.44,4818.48
"371",2016-09-05,3072.1,16958.77,4783.49
"372",2016-09-06,3090.71,16965.76,4775.43
"373",2016-09-07,3091.93,16672.92,4783.69
"374",2016-09-08,3095.95,16729.04,4791.09
"375",2016-09-09,3078.86,16614.24,4775.99
"376",2016-09-12,3021.98,16405.01,4771.05
"377",2016-09-13,3023.51,16519.29,4783.94
"378",2016-09-14,3002.85,16492.15,4798.74
"379",2016-09-19,3026.05,16807.62,4829.51
"380",2016-09-20,3023,16754.02,4831.86
"381",2016-09-21,3025.87,16544.56,4804
"382",2016-09-22,3042.31,16683.93,4681.53
"383",2016-09-23,3033.9,16465.4,4764.65
"384",2016-09-26,2980.43,16693.71,4722.84
"385",2016-09-27,2998.17,16449.84,4746.06
"386",2016-09-28,2987.86,16598.67,4819.9
"387",2016-09-29,2998.48,16735.65,4818.05
"388",2016-09-30,3004.7,16819.24,4796.07
"389",2016-10-10,3048.14,16899.1,4805.22
"390",2016-10-11,3065.25,16860.09,4853.75
"391",2016-10-12,3058.5,17024.76,4891.36
"392",2016-10-13,3061.35,16840,4858.91
"393",2016-10-14,3063.81,16774.24,4817.17
"394",2016-10-17,3041.17,16856.37,4866.71
"395",2016-10-18,3083.88,16900.12,4875.27
"396",2016-10-19,3084.72,16963.61,4838.3
"397",2016-10-20,3084.46,16998.91,4875.7
"398",2016-10-21,3090.94,17235.5,4866.63
"399",2016-10-24,3128.25,17184.59,4859.47
"400",2016-10-25,3131.94,17234.42,4877.75
"401",2016-10-26,3116.31,17365.25,4873.92
"402",2016-10-27,3112.35,17391.84,4864.52
"403",2016-10-28,3104.27,17336.42,4893.77
"404",2016-10-31,3100.49,17446.41,4821.91
"405",2016-11-01,3122.44,17425.02,4819.63
"406",2016-11-02,3102.73,17442.4,4803.1
"407",2016-11-03,3128.94,17134.68,4808.49
"408",2016-11-04,3125.32,16906.5,4796.17
"409",2016-11-07,3133.33,17169.5,4839.72
"410",2016-11-08,3147.89,17171.38,4836.61
"411",2016-11-09,3128.37,16238.5,4832.71
"412",2016-11-10,3171.28,17361.5,4851.86
"413",2016-11-11,3196.04,17374.79,4909.97
"414",2016-11-14,3210.37,17672.62,4891.45
"415",2016-11-15,3206.99,17662.5,4860.59
"416",2016-11-16,3205.06,17862.5,4836.45
"417",2016-11-17,3208.45,17872.5,4805.59
"418",2016-11-18,3192.86,17967.41,4801.27
"419",2016-11-21,3218.15,18106.02,4766.94
